		Question Type	Answer Resource Type	Wh-type	#Token	Limit (includes order by and offset)	Comparative	Superlative	Person	Location	Organization	Misc
1	Give me all ESA astronauts.	List	Person	Command	5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
2	Give me all Swedish holidays.	List	Misc	Command	5	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
3	Who is the youngest Pulitzer Prize winner?	Resource	Person	Who	5	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
4	Which animals are critically endangered?	List	Misc	Which	5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
5	Which soccer players were born on Malta?	List	Person	Which	6	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
6	Did Arnold Schwarzenegger attend a university?	Boolean	Boolean	Ask	5	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
7	Which programming languages were influenced by Perl?	List	Misc	Which	6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
8	Is Barack Obama a democrat?	Boolean	Boolean	Ask	4	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
9	How many children does Eddie Murphy have?	Number	Number	How	6	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
10	Who is the oldest child of Meryl Streep?	Resource	Person	Who	7	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
11	Who killed John Lennon?	Resource	Person	Who	3	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
12	In which city is Air China headquartered?	Resource	Location	In which	7	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
13	Which frequent flyer program has the most airlines?	Resource	Organization	Which	6	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
14	Which artists were born on the same date as Rachel Stevens?	List	Person	Which	11	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
15	How many scientists graduated from an Ivy League university?	Number	Number	How	9	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
16	Which types of grapes grow in Oregon?	List	Misc	Which	7	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
17	Who is starring in Spanish movies produced by Benicio del Toro?	Resource	Person	Who	11	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
18	Who is the manager of Real Madrid?	Resource	Person	Who	7	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
19	Give me the currency of China.	Resource	Misc	Command	6	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
20	Which movies starring Brad Pitt were directed by Guy Ritchie?	List	Person	Which	10	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
22	How many companies were founded by the founder of Facebook?	Number	Number	How	10	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
23	How many companies were founded in the same year as Google?	Number	Number	How	11	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
24	Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?	Resource	Organization	Which	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
25	How many airlines are members of the Star Alliance?	Number	Number	How	9	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
26	Give me all spacecrafts that flew to Mars.	List	Misc	Command	8	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
27	Which musician wrote the most books?	Resource	Person	Which	6	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
28	Show me everyone who was born on Halloween.	List	Person	Command	8	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
29	Give me all Swiss non-profit organizations.	List	Organization	Command	6	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
30	In which country is Mecca located?	Resource	Location	Command	6	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
31	What is the net income of Apple?	Number	Number	What	7	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
32	What does the abbreviation FIFA stand for?	Resource	Organization	What	7	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
33	When did the Ming dynasty dissolve?	Resource	Date	When	6	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
34	Which museum in New York has the most visitors?	Resource	Organization	Which	9	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
35	Is Lake Baikal bigger than the Great Bear Lake?	Boolean	Boolean	Ask	9	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
36	Desserts from which country contain fish?	Resource	Location	Ask	6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
37	What is the highest mountain in Italy?	Resource	Location	What	7	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
38	Where did the architect of the Eiffel Tower study?	Resource	Organization	Where	9	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
39	Which Greek parties are pro-European?	List	Organization	What	5	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
40	What is the height difference between Mount Everest and K2?	Number	Number	What	10	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
41	Who is the mayor of Rotterdam?	Resource	Person	Who	6	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
43	How high is the Yokohama Marine Tower?	Number	Number	Ask	7	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
44	Are Taiko a kind of Japanese musical instruments?	Boolean	Boolean	Ask	8	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
45	How many ethnic groups live in Slovenia?	Number	Number	How	7	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
46	List the seven kings of Rome.	List	Person	Command	6	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
47	Who were the parents of Queen Victoria?	Resource	Person	Who	7	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
48	Who is the heaviest player of the Chicago Bulls?	Resource	Person	Who	9	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
49	Which volcanos in Japan erupted since 2000?	List	Misc	Which	7	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
50	Who is the tallest basketball player?	Resource	Person	Who	6	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE