#id	question	entities	rewritten question
1	Give me the currencies of all G8 countries.	[http://dbpedia.org/ontology/currency]	Give me the currencies of all G8 countries.
2	In which city was the assassin of Martin Luther King born?	[http://dbpedia.org/ontology/Settlement, http://dbpedia.org/ontology/birthPlace, http://dbpedia.org/resource/Martin_Luther_King,_Jr.]	In which city was the assassin of http://dbpedia.org/resource/Martin_Luther_King,_Jr. born?
3	Which anti-apartheid activist graduated from the University of South Africa?	[http://dbpedia.org/ontology/almaMater, http://dbpedia.org/resource/University_of_South_Africa]	Which anti-apartheid activist graduated from the [http://dbpedia.org/resource/University_of_South_Africa]?
4	How many Golden Globe awards did the husband of Katie Holmes win?	[http://dbpedia.org/property/spouse, http://dbpedia.org/resource/Katie_Holmes]	How many Golden Globe awards did the husband of [http://dbpedia.org/resource/Katie_Holmes] win?
5	Which recipients of the Victoria Cross died in the Battle of Arnhem?	[http://dbpedia.org/ontology/award, http://dbpedia.org/resource/Victoria_Cross]	Which recipients of the [http://dbpedia.org/resource/Victoria_Cross] died in the Battle of Arnhem?
6	Where did the first man in space die?	[http://dbpedia.org/ontology/deathPlace]	Where did the first man in space die?
7	How old was Steve Jobâ€™s sister when she first met him?	[http://dbpedia.org/ontology/relative, http://dbpedia.org/resource/Steve_Jobs]	How old was http://dbpedia.org/resource/Steve_Jobs sister when she first met him?
8	Which members of the Wu-Tang Clan took their stage name from a movie?	[http://dbpedia.org/ontology/bandMember, http://dbpedia.org/resource/Wu-Tang_Clan]	Which members of the  http://dbpedia.org/resource/Wu-Tang_Clan took their stage name from a movie?
9	Which writers had influenced the philosopher that refused a Nobel Prize?	[http://dbpedia.org/ontology/Philosopher, http://dbpedia.org/ontology/Writer, http://dbpedia.org/ontology/influencedBy]	Which writers had influenced the philosopher that refused a Nobel Prize?
10	Under which king did the British prime minister that signed the Munich agreement serve?	[http://dbpedia.org/class/yago/PrimeMinistersOfTheUnitedKingdom, http://dbpedia.org/ontology/monarch]	Under which king did the British prime minister that signed the Munich agreement serve?
11	Who composed the music for the film that depicts the early life of Jane Austin?	[http://dbpedia.org/ontology/Film, http://dbpedia.org/ontology/musicComposer]	Who composed the music for the film that depicts the early life of Jane Austin?
12	Who succeeded the pope that reigned only 33 days?	[http://dbpedia.org/class/yago/Popes, http://dbpedia.org/ontology/successor]	Who succeeded the pope that reigned only 33 days?
13	On which island did the national poet of Greece die?	[http://dbpedia.org/class/yago/Island109316454, http://dbpedia.org/ontology/deathPlace]	On which island did the national poet of Greece die?
14	Which horses did The Long Fellow ride?	[http://dbpedia.org/ontology/raceHorse]	Which horses did The Long Fellow ride?
15	Of the people that died of radiation in Los Alamos, whose death was an accident?	[http://dbpedia.org/ontology/deathCause, http://dbpedia.org/ontology/deathPlace, http://dbpedia.org/resource/Acute_radiation_syndrome, http://dbpedia.org/resource/Los_Alamos,_New_Mexico]	Of the people that died of radiation in http://dbpedia.org/resource/Los_Alamos,_New_Mexico, whose death was an accident?
16	Which buildings owned by the crown overlook the North Sea?	[http://dbpedia.org/ontology/Building, http://dbpedia.org/ontology/owner, http://dbpedia.org/resource/The_Crown]	Which buildings owned by http://dbpedia.org/resource/The_Crown overlook the North Sea?
17	Which buildings in art deco style did Shreve, Lamb and Harmon design?	[http://dbpedia.org/ontology/architect, http://dbpedia.org/ontology/architecturalStyle, http://dbpedia.org/resource/Art_Deco, http://dbpedia.org/resource/Shreve,_Lamb_&_Harmon]	Which buildings in art deco style did http://dbpedia.org/resource/Shreve,_Lamb_&_Harmon design?
18	Which birds are protected under the National Parks and Wildlife Act?	[http://dbpedia.org/ontology/Bird]	Which birds are protected under the National Parks and Wildlife Act?
19	Which country did the first known photographer of snowflakes come from?	[http://dbpedia.org/ontology/Country, http://dbpedia.org/ontology/birthPlace]	Which country did the first known photographer of snowflakes come from?
20	List all the battles fought by the lover of Cleopatra.	[http://dbpedia.org/ontology/battle]	List all the battles fought by the lover of Cleopatra.
21	Are the Rosetta Stone and the Gayer-Anderson cat exhibited in the same museum?	[http://dbpedia.org/ontology/museum, http://dbpedia.org/resource/Gayer-Anderson_Cat, http://dbpedia.org/resource/Rosetta_Stone]	Are the http://dbpedia.org/resource/Rosetta_Stone and the http://dbpedia.org/resource/Gayer-Anderson_Cat exhibited in the same museum?
22	Which actress starring in the TV series Friends owns the production company Coquette Productions?	[http://dbpedia.org/ontology/starring, http://dbpedia.org/resource/Friends]	Which actress starring in the TV series http://dbpedia.org/resource/Friends owns the production company Coquette Productions?
23	Dakar is the capital of which country member of the African Union?	[http://dbpedia.org/ontology/capital, http://dbpedia.org/resource/Dakar]	http://dbpedia.org/resource/Dakar is the capital of which country member of the African Union?
24	When was the composer of the opera Madama Butterfly born?	[http://dbpedia.org/ontology/birthDate, http://dbpedia.org/resource/Madama_Butterfly]	When was the composer of the opera http://dbpedia.org/resource/Madama_Butterfly born?
25	Which street basketball player was diagnosed with Sarcoidosis?	[http://dbpedia.org/class/yago/StreetBasketballPlayers]	Which street basketball player was diagnosed with Sarcoidosis?
